Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Directions,Warnings,Ingredients,Peanut Free,"Craving a drink with a kick? The On the Rocks Tres Generaciones Jalapeno Pineapple Margarita RTD Cocktail is the perfect combination of sweet and spicy. Made with Plata tequila, triple sec, pineapple, and jalapeño peppers, this premium cocktail will bring the bar to you. Crafted with natural ingredients and cane sugar, it's free of preservatives and ready to serve. Simply pour over ice for a refreshing drink that's perfect for any occasion—whether it's an unconventional setting or not. Get your hands on this bar-quality cocktail today through Instacart same-day delivery or pickup."
High Noon Vodka Hard Seltzer Variety Pack,$38.39,$42.39, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_038f1df3-83b6-4e92-b606-1968a1cf29f9.jpeg 4x,Gluten Free,,"Live like the sun's out with High Noon Vodka Seltzer Variety 12 Pack. Made with real vodka & real juice, sparkling water and natural flavors, this gluten free hard seltzer has 100 calories and no added sugar. Each variety pack contains three cans each of Watermelon, Black Cherry, Grapefruit and Pineapple vodka seltzer. Just toss these cans in the cooler or the fridge for convenient drinks during your next sunny adventure. High Noon Vodka Seltzer Variety 12 Pack is the perfect complement to an impromptu pool party or a backyard barbecue. Each can has 4.5% alcohol by volume. In addition to a 12-count mixed pack, High Noon hard seltzers are also available in an 8-count variety pack.,• The High Noon Vodka Seltzer Variety 12 pack includes 3 (355ml) cans of each of: Watermelon, Black Cherry, Grapefruit and Pineapple,• Made with real vodka + real juice, sparkling water and natural flavors,• Gluten free hard seltzer with 100 calories, no added sugar, and 4.5% alcohol by volume,• Tasting notes of lively fruit flavors in a crisp, sparkling drink,• Enjoy by the pool, on the golf course, at a tailgate, or at any occasion under the sun",Refrigerate after opening.,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Ketel One Vodka,$42.39,$52.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_613eb944-d2be-4c8f-acec-7a25f837617b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_be94a2c1-6d52-4f07-8c0b-1f1fa8ff0d76.jpg 4x",,,"Ketel One Vodka has an exceptionally smooth, crisp taste and is meticulously crafted using non-GMO grain. Perfect for any vodka soda. Great as a gift or for any celebration.",Perfect as a gift or for any celebration,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",Wheat.,,
Skrewball Peanut Butter Whiskey,$29.09,$46.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a3d2b48b-19b5-4f6e-908f-2e48c7113698.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_22cf0b13-1777-4203-945d-2c23f4af7ce5.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_af4d47dd-a4fd-4aea-8a2e-c36b4b7ae31e.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e9c82f92-d2c6-4c06-aca0-8c43f3f126c5.png 4x",,,"Skrewball Peanut Butter Whiskey embodies both smooth whiskey and creamy peanut butter flavors at the same time. This flavored whiskey offers an original and unique flavor profile—a delicious and harmonious blend of sweet, salty, savory and smooth that is unlike anything you've ever tasted before. Founded in 2018 in San Diego, CA, by husband-and-wife duo Steven and Brittany Yeng, Skrewball emerged when co-founder Steve, newly arrived from Cambodia, discovered the fascinating flavor of peanut butter, leading to the creation of a renowned peanut butter whiskey cocktail. He joined forces with his wife Brittany, a skilled chemist, to create the award-winning Skrewball recipe. Crafted with both bartenders and drinkers in mind, this peanut butter whiskey is a standalone spirit that tastes great on its own and plays well in alcohol drinks and cocktails like a Peanut Butter Old Fashioned, Nutty Russian or Skrewball Mudslide. There are truly so many ways to indulge your inner Skrewball. Enjoy Responsibly.,THE ORIGINAL: Peanut butter whiskey made with a quality-first approach; embodying both smooth whiskey and creamy peanut butter flavors,INCLUDES: One 750 mL bottle of Skrewball Peanut Butter Whiskey with Natural Flavors; 70 proof or 35% alcohol by volume; Enjoy responsibly,INDULGE YOUR INNER SKREWBALL: Enjoy this liquor in a shot, neat, over ice or mix it up in a cocktail like a Peanut Butter Old Fashioned, Nutty Russian or Skrewball Mudslide,FLAVOR & NOTES: A unique and original flavor profile: a mix of sweet, salty, savory, and smooth that defies expectations of whiskeys,CONTAINS PEANUTS: Whiskey with Natural Flavors",Enjoy responsibly.,Contains: peanuts,,,
Tanqueray London Dry Gin,$27.79,$42.39, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7bfbde1b-2f40-47c6-9371-2efee661837d.jpg 4x,,,"Tanqueray London Dry Gin is made with an expertly crafted recipe that blends the four distinct botanicals of juniper, coriander, angelica, and licorice. The result is a perfectly balanced spirit that has a unique herbal quality and dry finish.","Pour over ice in a wine glass, top up with premium tonic and garnish with a lime wedge for a refreshing tasting gin and tonic.","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",Highest Quality Spirit and Finest Botanicals.,,
Casamigos Blanco Tequila,$62.19,$79.39, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3d2e668c-ae3b-4d20-8aef-8bb704dd6a10.jpg 4x,Gluten Free,,"Casamigos Blanco is a crystal-clear tequila made from 100% Blue Weber agave. Slow roasted for optimal flavor, it features crisp notes of citrus, vanilla, and sweet agave. Perfect for sipping neat, on the rocks, or in cocktails.","Enjoy neat, on the rocks, or as a tequila cocktail in Margaritas, Palomas, or with tonic","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",100% De Agave.,,
Malibu White Rum with Coconut Liqueur,$18.59,$23.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6b940519-be4f-4269-b999-61d982a1978e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_baedbe6c-a4b1-43c0-919c-ec7444645f28.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f7f4c3a8-ff96-4578-b492-de1d4c9debe2.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_36be32e6-b886-40ae-bf9e-303f54ff0426.jpg 4x",,,"Malibu is one of the world's leading flavored rum spirits, delivering a smooth and sweet taste that complements all your favorite refreshing cocktails. Savor the delightful fusion of carefully aged white rum and coconut liqueur, expertly blended to create a luscious and exotic flavor profile. Whether you're lounging by the pool, hosting a beach party, or simply unwinding after a long day, Malibu is your go-to companion for moments of relaxation and celebration. Blend this liqueur with fresh strawberries and ice for a flavorful Strawberry Daiquiri, shake with orange juice and grenadine to enjoy a fruity Caribbean Sunrise, or keep things simple and try Malibu mixed with cranberry juice or cola. Don't forget to sample the liquor in a Pina Colada—this iconic cocktail is the ideal way to enjoy Malibu and experience its sweet and refreshing taste. Enjoy Responsibly.,WHITE RUM WITH COCONUT LIQUEUR: White rum and liqueur with a lightly toasted coconut aroma and a creamy coconut taste with vanilla custard notes,INCLUDES: One 750 mL bottle of Malibu White Rum with Coconut Liqueur; 42 proof or 21% alcohol by volume; Please enjoy responsibly,RUM DRINKS: Ideal in cocktails and alcohol drinks like the classic Pina Colada or mixed with pineapple or cola,DELICATE BODY, SILKY FINISH: This coconut drink has a delicate body with a soft rum taste and a lasting silky finish,EXPERTLY BLENDED: A delightful blend of perfectly aged white rum and coconut liqueur","Malibu was tailor-made for Pina Coladas, though you can't miss refreshing cocktails like Malibu Daiquiri or Caribbean Sunrise, or allow Malibu's island flavors to shine by serving it in simple mixed drinks like Malibu Cola or Malibu Cranberry.","Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.","Caribbean Rum, Sweetner and Flavoring",,
SKYY Vodka,,$17.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b8abc3e3-56f3-4fd0-96a2-cfcb00c79824.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d74f7a05-4862-4c1c-a6fc-c0f492c637aa.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_80313fa6-b36d-4a5e-a078-0583c40e7a15.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8948cc6c-ffc9-4875-8abf-696156d416b7.jpg 4x","Gluten Free,Peanut Free",,"Enjoy smoother cocktails with SKYY Vodka. Made with water enriched by Pacific Minerals, sourced from the San Francisco Bay Area and filtered through California Limestone, SKYY Vodka offers a taste as smooth as the tide rolling out to sea. This premium liquor goes through the process of quadruple distillation and triple filtration for a vodka of proven, exceptional quality and softness. Its clean, crisp taste can be enjoyed on the rocks or in your favorite drinks. Mix SKYY Vodka for an elevated take on classic vodka cocktails like a Moscow Mule, Screwdriver, SKYY 75 or keep it simple with a SKYY Vodka and soda. This smooth and versatile spirit is also perfect for creating a new cocktail of your own invention. SKYY Vodka has most recently been awarded a Gold Medal and 90 points by the Beverage Tasting Institute (BTI). We didn’t invent vodka, but we’ve been driven to perfect it since 1992.","SKYY Vodka & Soda, 1.5 oz SKYY Vodka, 4.5 oz soda water , Cubed ice , Garnish: Grapefruit peel , Glass: Highball glass","Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Patrón® Silver Tequila,$29.09,$39.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4798affe-081a-4355-b340-d28885b65b2d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_26ce12d2-923c-4d61-9c2f-e87aa4b6c261.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_430126f3-fed5-4601-b26c-5a8c3cf40d39.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b794f0a3-9185-4b94-9bf0-930998a39b12.jpg 4x",,,"PATRON Silver Tequila is passionately handcrafted in Jalisco, Mexico using a few natural ingredients and offers the perfect balance of fresh agave flavor and undertones. Made from the finest 100% Weber Blue Agave and meticulously crafted in small batches, PATRON Silver Tequila is smooth and sweet, delivering an aroma of fruits and citrus, followed by a light peppery finish for a spirit that is as remarkable in quality as it is in taste. PATRON Silver is versatile, easy to be mixed, and enjoyed from the very first sip. When you want to show off your mixology skills, make PATRON Silver the ultimate spirit of choice to enjoy in an array of classic alcohol drinks like a Margarita, Mojito, Cosmo, Martini or Tequila Sunrise cocktail. At 40% alcohol by volume, the clear color of this exceptional tequila blanco is followed by its unique flavor that helps create a superior taste. PATRON tequila is passionately handcrafted by our familia of bold innovators who maintain a tireless dedication to achieve perfection in every drop. This unshakable confidence is embedded in the heart and soul of PATRON and leads to the 100% natural, simply perfect tequila that is PATRON Silver. Please Drink Responsibly.,• One 375 ml bottle of Patron Silver Tequila,• Silver tequila that is passionately handcrafted from the finest 100% Weber Blue Agave and carefully distilled in small batches in Jalisco, Mexico,• Made from using only natural ingredients—water, agave, yeast—delivering a smooth and sweet taste, fresh agave, and hints of citrus,• The unique flavor of this tequila liquor is created through a three-day fermentation period and then is distilled,• PATRON Silver Tequila spirits are 40% alcohol by volume",{},"WARNING: Drinking distilled spirits, beer, coolers, wine and other alcoholic beverages may increase cancer risk, and, during pregnancy, can cause birth defects. For more information go to www.P65Warnings.ca.gov/alcohol.",Tequila.,,
"Fireball Cinnamon Whiskey, 375ml Plastic Bottle",,$17.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6d229de4-464a-4c44-a65c-0225cd6ba7db.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e110aa39-a1f2-4e85-8348-9cdf824a017f.jpg 4x",,,"Free Your Fire with the heavenly taste and ferocious burn of Fireball Cinnamon Whisky. Fireball is the perfectly blended Canadian whisky made with real cinnamon for a fiery kick of red hot cinnamon flavor. Fireball is America’s #1 shot brand and #1 whiskey brand, making this cinnamon whisky the iconic choice for celebrating with friends at home or your favorite bar. At 33% alcohol by volume, a Fireball shot is the perfect whiskey shot for pregaming before a chill night out. Fireball Canadian Whisky also tastes great when enjoyed straight or added to your favorite mixed drinks or a classic cocktail. The cinnamon flare of Fireball hard liquor also enhances your favorite hard seltzer, hard cider and other alcoholic drinks. With countless ways to enjoy Fireball Cinnamon Whisky, bending the rules is easy - and delicious. Store Fireball at room temperature or store and pour straight from your freezer to enjoy an icy, spicy shot. Fireball is one of a kind, not to be replaced by any other copycat cinnamon whiskey. Fireball tastes like heaven and burns like hell.,• One 375ml plastic bottle of Fireball Cinnamon Whisky, 66 Proof,• A one-of-a-kind flavored whiskey made with real cinnamon, Fireball delivers an iconic fiery kick of red hot cinnamon flavor to any alcoholic beverage,• At 33% alcohol by volume, Fireball whisky is delicious on the rocks and in a variety of alcoholic beverages, whiskey cocktails and mixed drinks,• Fireball Cinnamon Whisky is the #1 shot brand and #1 whiskey brand in the U.S.,• Celebrate any occasion with a shot of Fireball whisky, whether you crushed that big presentation at work or your favorite team just scored a touchdown",Best enjoyed however you enjoy it - perfect with a splash of this and a squeeze of that,"Government Warning: (1) According To The Surgeon General Women Should Not Drink Alcoholic Beverages During Pregnancy Because Of The Risk Of Birth Defects. (2) Consumption Of Alcoholic Beverages Impairs Your Ability To Drive A Car Or Operate Machinery, And May Cause Health Problems.",Grain,,
Tito's Handmade Vodka,$35.69,$37.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1b546dac-a2ca-4504-8a96-3a3c423caad9.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_45a9a088-903f-455b-9e9f-e481d25d1d78.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_90fe6654-d0a0-40cb-8aa3-1f9e335c8381.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c7232f63-e510-43ca-ac95-43e59e609602.jpg 4x",Gluten Free,,"Tito’s Handmade Vodka is America's Original Craft Vodka produced in Austin, Texas. Tito’s is known for its high-quality product, charitable giving, and goal to make people happy while making the world a better place. Tito’s is crafted in old-fashioned pot stills with each batch taste-tested. Exceptionally smooth with an impeccably clean finish, our unflavored, low-calorie vodka is six times distilled, made from corn, and naturally gluten-free with no carbs or sugar*. From a Bloody Mary at brunch, a Transfusion on the golf course, or a simple Tito’s and soda with friends, make every occasion a celebration with Tito’s!,Tito’s Handmade Vodka turns spirits into love and goodness with Love, Tito’s, the philanthropic heart of the company, supporting thousands of nonprofit organizations across the U.S. — and around the world — amplifying their missions of disaster relief and response, community building, animal welfare, veteran services, and so much more.,Available in Liter, 1.75L, 750mL, 375mL, 200mL, and 50mL sizes. For more information, visit titosvodka.com.,*(Average Analysis per 1.5 oz Tito’s Handmade Vodka: 98 calories, Carbohydrates 0 grams, Protein 0 grams, Fat 0 grams, Sugar 0 grams)",Enjoy a classic Tito’s & Soda with a twist of lime. Whip up a Tito’s Transfusion with ginger ale and grape juice. Try a TitoRita as a twist on the traditional margarita. Or serve a Tito’s American Mule with zesty ginger beer and lime juice in a Tito’s Copper Mug.,"Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Espolon Reposado Tequila,,$44.39, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3e4216b0-ce67-4976-a05d-5e2cbfc44be5.jpg 4x,"Gluten Free,Peanut Free",,"Espolòn Reposado is award-winning tequila made with hand-harvested 100% Blue Weber agave and distilled in the highlands of Jalisco, Mexico, Espolòn is the premium tequila that celebrates the storied culture of true Mexico through classic 19th-century artistry and the iconic rooster, a symbol of national pride. The labels, unique illustrations inspired by Mexican artistry, infuse the characters of Guadalupe, Rosarita and Ramon the Rooster into journeys capturing real moments in Mexican history. Espolòn Tequila is produced in four marques, Blanco, Reposado, Añejo, and Cristalino.","Mexican Mule, 1.5 oz Espolòn Tequila Reposado, 0.5 oz Fresh Lime Juice, Ginger Beer, Combine in a mule cup on the rocks and top with ginger beer., Garnish with a lime wedge.","Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Jose Cuervo Especial Silver Tequila,$18.59,$29.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4c29d95e-0cd2-4a23-a05f-457594cd8ac7.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_11e34bce-9b7b-46df-b2b5-547042b8c509.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9ec2ea73-3282-4312-be73-76b656d71c97.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6ae701af-e27e-4000-9710-15b4a0949796.jpg 4x",,,"Made using blue agave from the family estate in Jalisco, Mexico, Jose Cuervo Especial® Silver is double-distilled for smooth, crisp, clean tequila. Its aroma is fresh and clean with hints of agave. (40% ABV-80 proof),• On the palate, Especial Silver is equally crisp and clean with subtle blue agave notes and a warm and smooth finish. No wonder Especial Silver is one of the fastest growing tequilas in America. Best enjoyed in margaritas, it lives up to its claim as the original party starter. Jose Cuervo is the world’s #1 tequila brand.",,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
"Bacardí® Gold Rum, Gluten Free",,$22.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_828f3675-fb14-470d-aa4f-5478e3254105.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2a82a6ab-53d4-481e-9e46-91ba873b148d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0167aab9-2b06-45cd-839f-21f777fbf0a2.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7fae3829-026d-4ccb-b6f6-d6ebabad3a93.png 4x",Gluten Free,,"BACARDI Gold Rum is the perfect aged rum that you can casually sip or mix into any number of cocktails. This light-bodied rum is filtered through a secret blend of charcoal, mellowed for one to two years in toasted American white oak barrels, and blended to create a light golden rum with a soft oak flavor. This gluten free BACARDI Rum imparts notes of vanilla, ginger root and toasted with a dry and slightly sweet finish. When you are out with your friends enjoying the moment, use this rum liquor to bring depth and character to classic rum cocktails like the Cuba Libre, Ginger Snap or Rum and Cola. BACARDI is the oldest and largest family-owned rum company in the world. Please Drink Responsibly.,• One 750 mL bottle of BACARDI Gold Rum,• Light rum is filtered through a secret blend of charcoal and mellowed for one to two years in toasted American white oak barrels,• Golden rum offers a rich, toasted and soft oak flavor that's easy to mix and simple to enjoy,• Aged rum that delivers aromatic notes of dry vanilla, ginger root, and toasted almond with a slightly sweet finish,• Mix this gluten free drink mixer into a number of alcohol drinks like a Cuba Libre cocktail, Ginger Snap or Rum and Cola","Simply take a tall glass and fill it with a generous serving of cubed ice, squeeze in two lime wedges, add 1 part of Bacardi Gold, 2 parts of your favorite cola and stir.","WARNING: Drinking distilled spirits, beer, coolers, wine and other alcoholic beverages may increase cancer risk, and, during pregnancy, can cause birth defects. For more information go to www.P65Warnings.ca.gov/alcohol.",,,
Cazadores® Tequila Reposado,$30.49,$44.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6802173a-6165-4454-a267-2a25a8b7a34d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9695ba9e-e992-4ce7-88f8-b35221271013.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_625f006f-b3dc-46f0-8f8b-62906f2dd572.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c24a86b0-c5e9-433b-888b-9abde923bfc0.jpg 4x",,,"The original Tequila CAZADORES Reposado creates the perfect balance of agave and woody flavors. Citrus and tropical fruits, vanilla notes and the customary smooth finish make this tequila a versatile option. Whether you want to expand your tequila palate or enjoy a more genuine drinking experience with your family and friends, this reposado tequila can be sipped neat or mixed into an easy alcohol drinks like a Paloma or Margarita cocktail. Pair this tequila reposado with tacos al pastor, enchiladas or tacos de carnitas to add to the festive experience. Production starts the day the agave is harvested and includes a two-stage fermentation process using a proprietary strain of yeast. It undergoes a double distillation process in small pot stills followed by aging in new American white oak barrels for up to a year. Born in Los Altos and bottled in its purest form, CAZADORES is a proud Mexican tequila. Drink Responsibly.,• One 750 mL bottle of Tequila CAZADORES Reposado,• Reposado tequila made with 100% blue Weber agave,• Features citrus and tropical fruits, vanilla notes and a smooth finish,• Reposado is rested in new American oak barrels for up to one year,• This tequila liquor is 40% alcohol by volume",{},"WARNING: Drinking distilled spirits, beer, coolers, wine and other alcoholic beverages may increase cancer risk, and, during pregnancy, can cause birth defects. For more information go to www.P65Warnings.ca.gov/alcohol.",,,
Jose Cuervo Especial Silver Tequila,$31.79,$44.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6aed6c3f-ab4b-40ab-bd5c-68f3cedeb291.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a2085ec6-8b47-43fe-b796-770892ebab5c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_38607b79-8b96-4ea6-9072-732f7a04632f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_443a7a53-ed98-4e49-8b2c-a5c273f7c761.jpg 4x",,,"Made using blue agave from the family estate in Jalisco, Mexico, Jose Cuervo Especial® Silver is double-distilled for smooth, crisp, clean tequila. Its aroma is fresh and clean with hints of agave. (40% ABV-80 proof),• On the palate, Especial Silver is equally crisp and clean with subtle blue agave notes and a warm and smooth finish. No wonder Especial Silver is one of the fastest growing tequilas in America. Best enjoyed in margaritas, it lives up to its claim as the original party starter. Jose Cuervo is the world’s #1 tequila brand.",{},"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",Made with blue agave silver tequila.,,
BuzzBallz Strawberry 'Rita,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8c46949b-1dfc-43f4-8a1a-aa350a07fe98.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0915823a-debd-4106-8111-71f247da3e5b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_570fe46f-cb70-4953-99ea-b3363fd3dd31.jpg 4x",,,Have a ball. Please drink responsibly. Go Texan. Women owned.,Shake well.,Contains sulfites,"Certified Color, and FD&C Yellow 5.",,
Kraken Rum 94 Proof,$22.49,$29.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_287dff2f-2324-4476-a8f0-138dba5a4279.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dbda45dd-f9a3-49ae-84a8-481e4963f048.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5fab161a-1e8f-4d23-9341-ac6122e4a11e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_76bba84f-1d5b-418b-8673-ac50822797d0.jpg 4x",,,"One of the fastest growing rum brands, The Kraken® is the world’s first black spiced rum, housed in an iconic bottle. Taste the flavors of cinnamon, vanilla, and nutmeg and experience its magic. The Kraken® Original is 94 proof. It has a distinct aroma of caramel, toffee and spice with flavors of cinnamon and vanilla and a lingering spicy finish. (47% ABV - 94 proof) The Kraken®, blended with secret spices, is perfect to spice up classics and new favorite cocktails or as a shot.",{},"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.","An Imported Rum Blended with Spice, Caramel and Other Natural Flavors.",,
Aperol Liqueur,$40.99,$52.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f2f26e19-ee27-40ed-8083-3717b1f4bcf3.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f87536e4-175e-4ddb-bc9e-bc9db65eb3f9.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8de3da8e-92a5-43ab-bff2-60436dbcf541.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_974fbc47-f488-4384-a587-8f77fea39446.jpg 4x",Peanut Free,,"Enjoy a daytime cocktail with Aperol Liqueur, the perfect aperitivo. Originally created in 1919 in Padova, Italy, Aperol features a unique bittersweet taste and bright orange color, both of which derive from the secret, original recipe that has remained unchanged for over a century. An infusion of zesty orange, herbs and roots with a touch of vanilla make for a perfectly balanced combination and offers a texture that's velvety and rounded with long-lasting orange flavor. An ideal addition to your home bar, Aperol is the quintessential aperitivo. Aperol is an irreplaceable component in the original Aperol Spritz, a deliciously simple cocktail made with Aperol, prosecco, soda water and an orange slice. The bright flavors and easy preparation make it a perfect pre-dinner cocktail or complement to a casual brunch. The 750 ml bottle of liqueur is 11% alcohol by volume. Aperol is a premium Italian aperitivo and an iconic symbol of aperitif culture, having celebrated its 100th anniversary in 2019. Cin Cin!","3 parts Prosecco,2 parts Aperol,1 part Soda,Orange slice, for garnish,Fill a white wine glass with ice. Combine Prosecco D.O.C. followed by Aperol. Add a splash of soda and garnish with an orange slice.","Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",Liqueur.,,
