Product Name,Price,Color,Image URLs,Specifications
"Men's Obsidian Beaded Cross Bracelet Set - Multi-layered matte obsidian and metal beads with grey gemstone decoration, Stretch design, Bohemian style, Ssuitable for daily wear or casual outing",$9.99,,"https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/zvqrto1750068042646.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/smufwq1750068044790.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/qzmxrp1750068046657.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/oeuxwa1750068048021.jpg","[""Gender: Men's"", 'Material: Alloy, Natural Stone', 'Style: Retro, Bohemian', 'Jewelry Type: Bracelet, Bracelet Set']"
"Colorful Hummingbird Dangle Earrings – Lightweight Stained Glass Design for Women, Perfect for Casual, Artistic Occasions and Vacation Wear",$7.99,1#,"https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/ekpjrs1737369041997.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/vbcwto1737369041144.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/uefcgl1737369042801.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/nkqmmm1737369043642.jpg","[""Gender: Women's"", 'Material: Acrylic', 'Style: Party / Evening, Elegant', 'Jewelry Type: Drop Earrings, Hoop Earrings', 'Shape: Hummingbird']"
"Colorful Hummingbird Dangle Earrings – Lightweight Stained Glass Design for Women, Perfect for Casual, Artistic Occasions and Vacation Wear",$7.99,2#,"https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/ekpjrs1737369041997.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/vbcwto1737369041144.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/uefcgl1737369042801.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/nkqmmm1737369043642.jpg","[""Gender: Women's"", 'Material: Acrylic', 'Style: Party / Evening, Elegant', 'Jewelry Type: Drop Earrings, Hoop Earrings', 'Shape: Hummingbird']"
"Colorful Hummingbird Dangle Earrings – Lightweight Stained Glass Design for Women, Perfect for Casual, Artistic Occasions and Vacation Wear",$7.99,3#,"https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/ekpjrs1737369041997.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/vbcwto1737369041144.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/uefcgl1737369042801.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/nkqmmm1737369043642.jpg","[""Gender: Women's"", 'Material: Acrylic', 'Style: Party / Evening, Elegant', 'Jewelry Type: Drop Earrings, Hoop Earrings', 'Shape: Hummingbird']"
"Colorful Hummingbird Dangle Earrings – Lightweight Stained Glass Design for Women, Perfect for Casual, Artistic Occasions and Vacation Wear",$7.99,4#,"https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/ekpjrs1737369041997.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/vbcwto1737369041144.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/uefcgl1737369042801.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/nkqmmm1737369043642.jpg","[""Gender: Women's"", 'Material: Acrylic', 'Style: Party / Evening, Elegant', 'Jewelry Type: Drop Earrings, Hoop Earrings', 'Shape: Hummingbird']"
"Colorful Hummingbird Dangle Earrings – Lightweight Stained Glass Design for Women, Perfect for Casual, Artistic Occasions and Vacation Wear",$7.99,5#,"https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/ekpjrs1737369041997.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/vbcwto1737369041144.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/uefcgl1737369042801.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/nkqmmm1737369043642.jpg","[""Gender: Women's"", 'Material: Acrylic', 'Style: Party / Evening, Elegant', 'Jewelry Type: Drop Earrings, Hoop Earrings', 'Shape: Hummingbird']"
"Colorful Hummingbird Dangle Earrings – Lightweight Stained Glass Design for Women, Perfect for Casual, Artistic Occasions and Vacation Wear",$7.99,6#,"https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/ekpjrs1737369041997.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/vbcwto1737369041144.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/uefcgl1737369042801.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/nkqmmm1737369043642.jpg","[""Gender: Women's"", 'Material: Acrylic', 'Style: Party / Evening, Elegant', 'Jewelry Type: Drop Earrings, Hoop Earrings', 'Shape: Hummingbird']"
"Colorful Hummingbird Dangle Earrings – Lightweight Stained Glass Design for Women, Perfect for Casual, Artistic Occasions and Vacation Wear",$7.99,7#,"https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/ekpjrs1737369041997.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/vbcwto1737369041144.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/uefcgl1737369042801.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/nkqmmm1737369043642.jpg","[""Gender: Women's"", 'Material: Acrylic', 'Style: Party / Evening, Elegant', 'Jewelry Type: Drop Earrings, Hoop Earrings', 'Shape: Hummingbird']"
Women's Art Deco Pearl Hand Chain Bracelet Ring - 1920s Gatsby Style Jewelry with Rhinestones for Vintage Themed Parties,$14.99,,"https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/nhvlwx1752470566562.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/tjjzlh1752470569723.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/lofmyc1752470573064.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/tqbgts1752470562365.jpg","[""Gender: Women's"", 'Material: Pearl', 'Design: Double Layered', 'Style: Bohemia, Elegant', 'Jewelry Type: Bracelet Bangles']"
Women's Art Deco Pearl Hand Chain Bracelet Ring - 1920s Gatsby Style Jewelry with Rhinestones for Vintage Themed Parties,$14.99,Silver,"https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/nhvlwx1752470566562.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/tjjzlh1752470569723.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/lofmyc1752470573064.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/tqbgts1752470562365.jpg","[""Gender: Women's"", 'Material: Pearl', 'Design: Double Layered', 'Style: Bohemia, Elegant', 'Jewelry Type: Bracelet Bangles']"
