Product Name,Discount Price,Actual Price,Color,SKU,Image URLs,US Size,CA Size,UK Size,AU Size,EU Size,BR Size,FR Size,RU Size,Style,Type,Material,Neckline,Sleeve Style,Length,Pattern Type,Decoration,Fit Type,Occasion,Package Include,Fabric Elasticity,Sheer,Care Instructions,With Belt,Sleeve Type,Waist Line
Striped Button Down Shirt Dress Back Shirred Long Sleeve Side Drawstring Mini Dresses,$12.42,$16.56,Purple,SKU: LZR18504-bwla2-pu,"""https://image.geeko.ltd/small/a9f0e463-3801-43db-a1b6-786f1d7cf9bf-02987-pc"", ""https://image.geeko.ltd/small/a9f0e463-3801-43db-a1b6-786f1d7cf9bf-02987-pc"", ""https://image.geeko.ltd/small/a9f0e463-3801-43db-a1b6-786f1d7cf9bf-02987-pc-sec"", ""https://image.geeko.ltd/small/a9f0e463-3801-43db-a1b6-786f1d7cf9bf-02987-pc-0"", ""https://image.geeko.ltd/small/a9f0e463-3801-43db-a1b6-786f1d7cf9bf-02987-pc-1"", ""https://image.geeko.ltd/small/a9f0e463-3801-43db-a1b6-786f1d7cf9bf-02987-pc-2"", ""https://image.geeko.ltd/small/a9f0e463-3801-43db-a1b6-786f1d7cf9bf-02987-pc-3"", ""https://image.geeko.ltd/small/a9f0e463-3801-43db-a1b6-786f1d7cf9bf-02987-pc-4""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Casual,Chic", Asymmetrical, 100%Polyester, Turn-down Collar, Long Sleeve, Mini, Striped," Button,Drawstring", Regular, Daily, 1* Dress, Slight Stretch, No, Machine wash or professional dry clean,,,
Striped Button Down Shirt Dress Back Shirred Long Sleeve Side Drawstring Mini Dresses,$12.42,$16.56,Red,SKU: LZR18504-bwla2-r,"""https://image.geeko.ltd/small/dcdf3b7a-d07a-4c63-a05c-7aa84d14b345-24685-pc"", ""https://image.geeko.ltd/small/dcdf3b7a-d07a-4c63-a05c-7aa84d14b345-24685-pc"", ""https://image.geeko.ltd/small/dcdf3b7a-d07a-4c63-a05c-7aa84d14b345-24685-pc-sec"", ""https://image.geeko.ltd/small/dcdf3b7a-d07a-4c63-a05c-7aa84d14b345-24685-pc-0"", ""https://image.geeko.ltd/small/dcdf3b7a-d07a-4c63-a05c-7aa84d14b345-24685-pc-1"", ""https://image.geeko.ltd/small/dcdf3b7a-d07a-4c63-a05c-7aa84d14b345-24685-pc-2"", ""https://image.geeko.ltd/small/dcdf3b7a-d07a-4c63-a05c-7aa84d14b345-24685-pc-3"", ""https://image.geeko.ltd/small/dcdf3b7a-d07a-4c63-a05c-7aa84d14b345-24685-pc-4""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Casual,Chic", Asymmetrical, 100%Polyester, Turn-down Collar, Long Sleeve, Mini, Striped," Button,Drawstring", Regular, Daily, 1* Dress, Slight Stretch, No, Machine wash or professional dry clean,,,
Striped Button Down Shirt Dress Back Shirred Long Sleeve Side Drawstring Mini Dresses,$12.42,$16.56,Black,SKU: LZR18504-bwla2-bk,"""https://image.geeko.ltd/small/0150fff4-ea5b-457f-9fca-e5c63ae44adc-30925-pc"", ""https://image.geeko.ltd/small/0150fff4-ea5b-457f-9fca-e5c63ae44adc-30925-pc"", ""https://image.geeko.ltd/small/0150fff4-ea5b-457f-9fca-e5c63ae44adc-30925-pc-sec"", ""https://image.geeko.ltd/small/0150fff4-ea5b-457f-9fca-e5c63ae44adc-30925-pc-0"", ""https://image.geeko.ltd/small/0150fff4-ea5b-457f-9fca-e5c63ae44adc-30925-pc-1"", ""https://image.geeko.ltd/small/0150fff4-ea5b-457f-9fca-e5c63ae44adc-30925-pc-2"", ""https://image.geeko.ltd/small/0150fff4-ea5b-457f-9fca-e5c63ae44adc-30925-pc-3"", ""https://image.geeko.ltd/small/0150fff4-ea5b-457f-9fca-e5c63ae44adc-30925-pc-4"", ""https://image.geeko.ltd/small/0150fff4-ea5b-457f-9fca-e5c63ae44adc-30925-pc-5""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Casual,Chic", Asymmetrical, 100%Polyester, Turn-down Collar, Long Sleeve, Mini, Striped," Button,Drawstring", Regular, Daily, 1* Dress, Slight Stretch, No, Machine wash or professional dry clean,,,
Ladder Cutout Drawstring Ruched High Slit Dress,,$10.6,Yellow,SKU: LZQ51330K-bwla2-y,"""https://image.geeko.ltd/small/0d1a6e3f-b3d1-4a34-aec0-6085b54e63cd-85479-pc"", ""https://image.geeko.ltd/small/0d1a6e3f-b3d1-4a34-aec0-6085b54e63cd-85479-pc"", ""https://image.geeko.ltd/small/0d1a6e3f-b3d1-4a34-aec0-6085b54e63cd-85479-pc-sec"", ""https://image.geeko.ltd/small/0d1a6e3f-b3d1-4a34-aec0-6085b54e63cd-85479-pc-0""","L(8-10), M(6), S(4), XL(12), XXL(14)","L, M, S, XL, XXL","L(12-14), M(10), S(8), XL(16), XXL(18)","L(12-14), M(10), S(8), XL(16), XXL(18)","L(40-42), M(38), S(36), XL(44), XXL(46)","G(L), M(M), P(S), GG(XL), EG(XXL)","L(40-42), M(38), S(36), XL(44), XXL(46)","L, M, S, XL, XXL", Chic, Slit," 95%Polyester,5%Elastane", O-neck, Short Sleeve, Midi, Plain," Cutout,Drawstring,Ruched,Slit", Skinny," Daily,Vacation", 1* Dress, Medium Stretch, No, Machine wash or professional dry clean,,,
Ladder Cutout Drawstring Ruched High Slit Dress,,$10.6,Rose Red,SKU: LZQ51330K-bwla2-re,"""https://image.geeko.ltd/small/178127d9-bcab-4b22-8b32-5116c7b0de2e-92916-pc"", ""https://image.geeko.ltd/small/178127d9-bcab-4b22-8b32-5116c7b0de2e-92916-pc"", ""https://image.geeko.ltd/small/178127d9-bcab-4b22-8b32-5116c7b0de2e-92916-pc-sec"", ""https://image.geeko.ltd/small/178127d9-bcab-4b22-8b32-5116c7b0de2e-92916-pc-0""","L(8-10), M(6), S(4), XL(12), XXL(14)","L, M, S, XL, XXL","L(12-14), M(10), S(8), XL(16), XXL(18)","L(12-14), M(10), S(8), XL(16), XXL(18)","L(40-42), M(38), S(36), XL(44), XXL(46)","G(L), M(M), P(S), GG(XL), EG(XXL)","L(40-42), M(38), S(36), XL(44), XXL(46)","L, M, S, XL, XXL", Chic, Slit," 95%Polyester,5%Elastane", O-neck, Short Sleeve, Midi, Plain," Cutout,Drawstring,Ruched,Slit", Skinny," Daily,Vacation", 1* Dress, Medium Stretch, No, Machine wash or professional dry clean,,,
Ladder Cutout Drawstring Ruched High Slit Dress,,$10.6,Orange,SKU: LZQ51330K-bwla2-or,"""https://image.geeko.ltd/small/6b56661c-8ec9-4419-b3a1-814d70ee0cff-26406-pc"", ""https://image.geeko.ltd/small/6b56661c-8ec9-4419-b3a1-814d70ee0cff-26406-pc"", ""https://image.geeko.ltd/small/6b56661c-8ec9-4419-b3a1-814d70ee0cff-26406-pc-sec"", ""https://image.geeko.ltd/small/6b56661c-8ec9-4419-b3a1-814d70ee0cff-26406-pc-0""","L(8-10), M(6), S(4), XL(12), XXL(14)","L, M, S, XL, XXL","L(12-14), M(10), S(8), XL(16), XXL(18)","L(12-14), M(10), S(8), XL(16), XXL(18)","L(40-42), M(38), S(36), XL(44), XXL(46)","G(L), M(M), P(S), GG(XL), EG(XXL)","L(40-42), M(38), S(36), XL(44), XXL(46)","L, M, S, XL, XXL", Chic, Slit," 95%Polyester,5%Elastane", O-neck, Short Sleeve, Midi, Plain," Cutout,Drawstring,Ruched,Slit", Skinny," Daily,Vacation", 1* Dress, Medium Stretch, No, Machine wash or professional dry clean,,,
Ladder Cutout Drawstring Ruched High Slit Dress,,$10.6,Green,SKU: LZQ51330K-bwla2-gr,"""https://image.geeko.ltd/small/63dd3fc5-7113-4e78-97d9-7a9e1b62fd0a-41870-pc"", ""https://image.geeko.ltd/small/63dd3fc5-7113-4e78-97d9-7a9e1b62fd0a-41870-pc"", ""https://image.geeko.ltd/small/63dd3fc5-7113-4e78-97d9-7a9e1b62fd0a-41870-pc-sec"", ""https://image.geeko.ltd/small/63dd3fc5-7113-4e78-97d9-7a9e1b62fd0a-41870-pc-0""","L(8-10), M(6), S(4), XL(12), XXL(14)","L, M, S, XL, XXL","L(12-14), M(10), S(8), XL(16), XXL(18)","L(12-14), M(10), S(8), XL(16), XXL(18)","L(40-42), M(38), S(36), XL(44), XXL(46)","G(L), M(M), P(S), GG(XL), EG(XXL)","L(40-42), M(38), S(36), XL(44), XXL(46)","L, M, S, XL, XXL", Chic, Slit," 95%Polyester,5%Elastane", O-neck, Short Sleeve, Midi, Plain," Cutout,Drawstring,Ruched,Slit", Skinny," Daily,Vacation", 1* Dress, Medium Stretch, No, Machine wash or professional dry clean,,,
Ladder Cutout Drawstring Ruched High Slit Dress,,$10.6,Black,SKU: LZQ51330K-bwla2-bk,"""https://image.geeko.ltd/small/a40eac48-5c65-4db5-a513-0c50b31f2afa-47163-pc"", ""https://image.geeko.ltd/small/a40eac48-5c65-4db5-a513-0c50b31f2afa-47163-pc"", ""https://image.geeko.ltd/small/a40eac48-5c65-4db5-a513-0c50b31f2afa-47163-pc-sec"", ""https://image.geeko.ltd/small/a40eac48-5c65-4db5-a513-0c50b31f2afa-47163-pc-0"", ""https://image.geeko.ltd/small/a40eac48-5c65-4db5-a513-0c50b31f2afa-47163-pc-1"", ""https://image.geeko.ltd/small/a40eac48-5c65-4db5-a513-0c50b31f2afa-47163-pc-2"", ""https://image.geeko.ltd/small/a40eac48-5c65-4db5-a513-0c50b31f2afa-47163-pc-3"", ""https://image.geeko.ltd/small/a40eac48-5c65-4db5-a513-0c50b31f2afa-47163-pc-4""","L(8-10), M(6), S(4), XL(12), XXL(14)","L, M, S, XL, XXL","L(12-14), M(10), S(8), XL(16), XXL(18)","L(12-14), M(10), S(8), XL(16), XXL(18)","L(40-42), M(38), S(36), XL(44), XXL(46)","G(L), M(M), P(S), GG(XL), EG(XXL)","L(40-42), M(38), S(36), XL(44), XXL(46)","L, M, S, XL, XXL", Chic, Slit," 95%Polyester,5%Elastane", O-neck, Short Sleeve, Midi, Plain," Cutout,Drawstring,Ruched,Slit", Skinny," Daily,Vacation", 1* Dress, Medium Stretch, No, Machine wash or professional dry clean,,,
Ladder Cutout Drawstring Ruched High Slit Dress,,$10.6,Army Green,SKU: LZQ51330K-bwla2-ag,"""https://image.geeko.ltd/small/1f2261e8-5071-4033-9271-50bac4a387e7-02545-pc"", ""https://image.geeko.ltd/small/1f2261e8-5071-4033-9271-50bac4a387e7-02545-pc"", ""https://image.geeko.ltd/small/1f2261e8-5071-4033-9271-50bac4a387e7-02545-pc-sec"", ""https://image.geeko.ltd/small/1f2261e8-5071-4033-9271-50bac4a387e7-02545-pc-0""","L(8-10), M(6), S(4), XL(12), XXL(14)","L, M, S, XL, XXL","L(12-14), M(10), S(8), XL(16), XXL(18)","L(12-14), M(10), S(8), XL(16), XXL(18)","L(40-42), M(38), S(36), XL(44), XXL(46)","G(L), M(M), P(S), GG(XL), EG(XXL)","L(40-42), M(38), S(36), XL(44), XXL(46)","L, M, S, XL, XXL", Chic, Slit," 95%Polyester,5%Elastane", O-neck, Short Sleeve, Midi, Plain," Cutout,Drawstring,Ruched,Slit", Skinny," Daily,Vacation", 1* Dress, Medium Stretch, No, Machine wash or professional dry clean,,,
Multi-color Abstract Print Hollow Out Maxi Dress,$10.00,$13.33,,SKU: LZJ2709A1-bwla2-or,"""https://image.geeko.ltd/small/cc341f0a-505b-4f38-aa8a-423d34e30d84-01495-pc"", ""https://image.geeko.ltd/small/cc341f0a-505b-4f38-aa8a-423d34e30d84-01495-pc-sec"", ""https://image.geeko.ltd/small/cc341f0a-505b-4f38-aa8a-423d34e30d84-01495-pc-0""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Chic,Sexy", Straight," 95%Polyester,5%Elastane", Asymmetrical Neck, Sleeveless, Maxi, Abstract, Hollow-out, Regular, Vacation, 1* Dress, Medium Stretch, No, Machine wash or professional dry clean,,,
Hollow-out Cutout Side Slit Casual Dress,$8.51,$11.35,,SKU: LZR18505-bwdf2-gr,"""https://image.geeko.ltd/small/dec47385-3ce9-4059-aac0-6701d7c8c94c-16096-pc"", ""https://image.geeko.ltd/small/dec47385-3ce9-4059-aac0-6701d7c8c94c-16096-pc-sec"", ""https://image.geeko.ltd/small/dec47385-3ce9-4059-aac0-6701d7c8c94c-16096-pc-0""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Casual,Chic", Slit, 100%Polyester, Round Neck, Sleeveless, Maxi, Plain," Cutout,Hollow-out,Ruched", Skinny, Daily, 1* Dress, Slight Stretch, No, Machine wash or professional dry clean,,,
Leaf Print Knotted Front Cutout Button Maxi Dress,$11.21,$14.94,,SKU: LZQ1515D-bwla2-w,"""https://image.geeko.ltd/small/ad2c65b5-a4b0-4b1c-a437-0536d8b9df29-01938-pc"", ""https://image.geeko.ltd/small/ad2c65b5-a4b0-4b1c-a437-0536d8b9df29-01938-pc"", ""https://image.geeko.ltd/small/ad2c65b5-a4b0-4b1c-a437-0536d8b9df29-01938-pc-sec"", ""https://image.geeko.ltd/small/ad2c65b5-a4b0-4b1c-a437-0536d8b9df29-01938-pc-0""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL", Casual, A Line," 97%Polyester,3%Elastane", V-Neck, Spaghetti Strap, Maxi, Colorblock," Button,Slit", Regular," Daily,Vacation", 1* Dress, Slight Stretch, No, Machine wash or professional dry clean,,,
