Product Name,Price,Product Image,Produkttypen,Bitte beachten Sie,Für,Obermaterialien,Schuhsohle,Komforteigenschaften,Ausstattungen,Schuhtechnologie,Verschluss,Innenausstattung,Siegel,Serie,Obermaterial,Innenfutter,Ausstattung,Produkttyp,vegan,Innenausstattungen,Schuhtechnologien,Farbe,Stil,Serien,Stile,Bemerkung,Schuhweite,Muster,Verschlüsse,Farben
Puma Caven 2.0 (392290),"34,10 €",https://cdn.idealo.com/folder/Product/202870/3/202870379/s1_produktbild_gross/puma-caven-2-0-392290.jpg,"Low-Top-Sneaker, Retro-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Unisex,"Textil, Synthetik",Gummi,,,Puma SoftFoam,mit Schnürung,,Leather Working Group,,,Textil,,,,,,,,,,,,,,
On Cloudnova 2,"144,99 €",https://cdn.idealo.com/folder/Product/204903/6/204903601/s1_produktbild_gross/on-cloudnova-2.jpg,,,Herren,"Synthetik, Textil, Mesh","Gummi, CloudTec",atmungsaktiv,"Zuglasche, Zehenschutzkappe",,mit Schnürung,gepolsterter Knöchelbereich,,On Cloudnova,,,,Low-Top-Sneaker,,,,,,,,,,,,
Asics Gel-Kayano 14 Women (1202A056-109) white/midnight,"119,99 €",https://cdn.idealo.com/folder/Product/202589/5/202589553/s1_produktbild_gross/asics-gel-kayano-14-women-1202a056-109-white-midnight.jpg,,Die Angebote können verschiedene Größen beinhalten.,Damen,,,,,,mit Schnürung,,"Sustainable Apparel Coalition, Leather Working Group, Better Cotton Initiative, bluesign",,,,,Low-Top-Sneaker,,,,weiß,,,,,,,,
Nike Air Max Plus,"129,00 €",https://cdn.idealo.com/folder/Product/1513/8/1513828/s1_produktbild_gross/nike-air-max-plus.jpg,"Low-Top-Sneaker, Chunky-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Herren,"Leder, Textil",Gummi,,,,mit Schnürung,gepolsterter Knöchelbereich,,Nike Air Max,,Textil,,,,,,,,,,,,,,
Adidas ZX 750,"94,99 €",https://cdn.idealo.com/folder/Product/1573/1/1573101/s1_produktbild_gross/adidas-zx-750.jpg,"Low-Top-Sneaker, Retro-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Herren,,Gummi,"atmungsaktiv, gefüttert",,,mit Schnürung,,,Adidas ZX,,Mesh,verstärkte Schuhspitze,,,,,,,,,,,,,
New Balance Sneaker '530' beige sand 22880755,"98,99 €",https://cdn.idealo.com/folder/Product/205475/9/205475930/s1_produktbild_gross/new-balance-sneaker-530-beige-sand-22880755.jpg,,,Herren,"Mesh, Kunstleder",,,,,mit Schnürung,gepolsterter Knöchelbereich,,,,,,Low-Top-Sneaker,,,,,,,,,,,,"weiß, beige"
Vans Old Skool (Suede/Canvas) black/true white,"27,95 €",https://cdn.idealo.com/folder/Product/3711/7/3711724/s1_produktbild_gross/vans-old-skool-suede-canvas-black-true-white.jpg,"Retro-Sneaker, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Unisex,"Textil, Leder, Canvas, Veloursleder",Gummi,gepolstert,,,mit Schnürung,gepolsterter Knöchelbereich,,Vans Old Skool,,Textil,gepolsterte Zunge,,,,,schwarz,,,"Schwarz-Weiß, Casual",,,,,
Converse Run Star Hike High Top,"44,99 €",https://cdn.idealo.com/folder/Product/200791/5/200791565/s1_produktbild_gross/converse-run-star-hike-high-top.jpg,,Die Angebote können verschiedene Größen beinhalten.,,"Textil, Canvas",Gummi,atmungsaktiv,,,mit Schnürung,Ortholite Einlegesohle,,Converse Run Star,,Textil,Gummi-Zehenkappe,High-Top-Sneaker,,,,,,,,,,Print,,
Asics Gel 1130,"69,95 €",https://cdn.idealo.com/folder/Product/201622/6/201622697/s1_produktbild_gross/asics-gel-1130.jpg,,Die Angebote können verschiedene Größen beinhalten.,Herren,,,atmungsaktiv,"verstärkte Schuhspitze, gepolsterte Zunge",,mit Schnürung,,"bluesign, Sustainable Apparel Coalition, Leather Working Group, Better Cotton Initiative",,Kunstleder,Mesh,,Low-Top-Sneaker,,,,,,,,,,,,
Nike Court Vision Low Next Nature white/white/white,"49,99 €",https://cdn.idealo.com/folder/Product/201579/7/201579787/s1_produktbild_gross/nike-court-vision-low-next-nature-white-white-white.jpg,"Low-Top-Sneaker, Retro-Sneaker",,Herren,,Gummi,atmungsaktiv,,,mit Schnürung,,,Nike Court,Synthetik,Textil,Overlays,,,,,weiß,,,,,,,,
Adidas Handball Spezial collegiate navy/clear sky/gum5,"79,79 €",https://cdn.idealo.com/folder/Product/6483/5/6483595/s1_produktbild_gross/adidas-handball-spezial-collegiate-navy-clear-sky-gum5.jpg,"Retro-Sneaker, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Unisex,,Gummi,,,,mit Schnürung,,"Certification LEED, Leather Working Group, Fair Labor Association, Better Cotton Initiative, Fair Wear Foundation",Adidas Handball Spezial,Wildleder,Synthetik,verstärkte Schuhspitze,,,,,blau,Casual,,,,,,,
New Balance M 373,"32,27 €",https://cdn.idealo.com/folder/Product/3057/1/3057149/s1_produktbild_gross/new-balance-m-373.jpg,"Low-Top-Sneaker, Retro-Sneaker",Die Angebote können verschiedene Größen beinhalten.,,"Synthetik, Mesh, Veloursleder",Gummi,atmungsaktiv,,,mit Schnürung,,"Sustainable Apparel Coalition, Fair Labor Association",New Balance 373,,,,,,,,,,,,,,,,
Vans Slip-On,"22,95 €",https://cdn.idealo.com/folder/Product/766/8/766878/s1_produktbild_gross/vans-slip-on.jpg,"Slip-ons, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,,,Gummi,,,,ohne Verschluss,,,,,Textil,,,,,,,,,,,,,,
Converse Chuck Taylor All Star Lift Leather High,"43,99 €",https://cdn.idealo.com/folder/Product/6279/0/6279054/s1_produktbild_gross/converse-chuck-taylor-all-star-lift-leather-high.jpg,"Plateau-Sneaker, High-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Damen,,Kautschuk,flexibel,,,mit Schnürung,,,Converse All Star Leather,Leder,Textil,Gummi-Zehenkappe,,,,,,,,,,,,,
Nike Killshot 2 Leather,"50,00 €",https://cdn.idealo.com/folder/Product/203336/5/203336524/s1_produktbild_gross/nike-killshot-2-leather.jpg,"Low-Top-Sneaker, Retro-Sneaker",,Herren,,"Leder, Gummi",,,,,,"Certification LEED, Sustainable Apparel Coalition, Leather Working Group, Fair Labor Association, Better Cotton Initiative",,Leder,,,,,,,,,,,,,,,
Adidas Handball Spezial Women aluminium/core black/cloud white (IF6562),"80,83 €",https://cdn.idealo.com/folder/Product/203330/4/203330430/s1_produktbild_gross/adidas-handball-spezial-women-aluminium-core-black-cloud-white-if6562.jpg,,Die Angebote können verschiedene Größen beinhalten.,,,Gummi,,,,mit Schnürung,,"Certification LEED, Leather Working Group, Better Cotton Initiative, Fair Labor Association, Fair Wear Foundation",Adidas Handball Spezial,Veloursleder,"Synthetik, Textil",,Low-Top-Sneaker,,,,weiß,,,,,,,,
New Balance 574 Core Women,"50,00 €",https://cdn.idealo.com/folder/Product/6369/9/6369928/s1_produktbild_gross/new-balance-574-core-women.jpg,"Low-Top-Sneaker, Retro-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Damen,"Mesh, Veloursleder",Gummi,"gepolstert, atmungsaktiv","Overlays, verstärkte Schuhspitze",,mit Schnürung,,"Sustainable Apparel Coalition, Leather Working Group, Better Cotton Initiative, Fair Labor Association",New Balance 574,,Synthetik,,,,,"New Balance ENCAP, New Balance SL-2 (Schuhleisten)",,,,,,,,,
Nike Air Max Portal Women,"57,74 €",https://cdn.idealo.com/folder/Product/204858/4/204858490/s1_produktbild_gross/nike-air-max-portal-women.jpg,,Die Angebote können verschiedene Größen beinhalten.,Damen,"Synthetik, Mesh",Gummi,,,Nike Air Sole (Dämpfung),mit Schnürung,,,,,Textil,Zuglasche,Low-Top-Sneaker,,,,,,"Nike Air Max Women, Nike Air Max",,,,,,
Adidas Samba OG brown/putty grey/gold metallic,"112,45 €",https://cdn.idealo.com/folder/Product/204863/2/204863220/s1_produktbild_gross/adidas-samba-og-brown-putty-grey-gold-metallic.jpg,"Retro-Sneaker, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Unisex,,Gummi,gepolstert,,,mit Schnürung,Ortholite Einlegesohle,"Certification LEED, Leather Working Group, Fair Labor Association, Better Cotton Initiative, Fair Wear Foundation",Adidas Samba,Leder,Synthetik,,,,,,braun,,,,,,,,
New Balance 530 beige/angora/incense,"86,65 €",https://cdn.idealo.com/folder/Product/202284/8/202284812/s1_produktbild_gross/new-balance-530-beige-angora-incense.jpg,"Retro-Sneaker, Low-Top-Sneaker, Chunky-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Unisex,"Textil, Mesh",Kautschuk,"atmungsaktiv, gepolstert","Zuglasche, verstärkte Schuhspitze",New Balance ABZORB,mit Schnürung,gepolsterter Knöchelbereich,"Sustainable Apparel Coalition, Leather Working Group, Better Cotton Initiative, Fair Labor Association",,,,,,,,,beige,,,,,,,,
Nike Shox TL (AR3566-002) black/metallic hematite/max orange/black,"127,50 €",https://cdn.idealo.com/folder/Product/6809/7/6809720/s1_produktbild_gross/nike-shox-tl-ar3566-002-black-metallic-hematite-max-orange-black.jpg,"Low-Top-Sneaker, Chunky-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Herren,"Synthetik, Mesh",Gummi,"atmungsaktiv, leichtgewichtig",,,mit Schnürung,,"Certification LEED, Sustainable Apparel Coalition, Leather Working Group, Better Cotton Initiative, Fair Labor Association",Nike Shox,,Textil,Reflektoren,,,,"Nike Shox, Flyknit",schwarz,All Black,,,,,,,
Adidas Continental 80,"37,80 €",https://cdn.idealo.com/folder/Product/6200/2/6200211/s1_produktbild_gross/adidas-continental-80.jpg,,Die Angebote können verschiedene Größen beinhalten.,,,Gummi,atmungsaktiv,,,mit Schnürung,,"Certification LEED, Leather Working Group, Better Cotton Initiative, Fair Labor Association",Adidas Continental,Leder,Textil,Overlays,Low-Top-Sneaker,,,,,,,,,,,,
New Balance 574 Core navy with white,"76,99 €",https://cdn.idealo.com/folder/Product/201834/1/201834187/s1_produktbild_gross/new-balance-574-core-navy-with-white.jpg,"Retro-Sneaker, Low-Top-Sneaker","Der Schuh fällt klein aus., Die Angebote können verschiedene Größen beinhalten.",Herren,,Gummi,atmungsaktiv,,,mit Schnürung,,"Sustainable Apparel Coalition, Leather Working Group, Better Cotton Initiative, Fair Labor Association",New Balance 574,,Synthetik,verstärkte Schuhspitze,,,,"New Balance ENCAP, New Balance SL-2 (Schuhleisten)",blau,Casual,,,,,,,
Nike Shox TL (AR3566-100) white/metallic silver/max orange/white,"169,00 €",https://cdn.idealo.com/folder/Product/6724/3/6724393/s1_produktbild_gross/nike-shox-tl-ar3566-100-white-metallic-silver-max-orange-white.jpg,"Low-Top-Sneaker, Chunky-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Herren,"Synthetik, Mesh",Gummi,"atmungsaktiv, leichtgewichtig",,,mit Schnürung,,"Certification LEED, Sustainable Apparel Coalition, Leather Working Group, Better Cotton Initiative, Fair Labor Association",Nike Shox,,Textil,Reflektoren,,,,"Nike Shox, Flyknit",weiß,,,,,,,,
Adidas NMD_R1,"64,90 €",https://cdn.idealo.com/folder/Product/4998/4/4998474/s1_produktbild_gross/adidas-nmd_r1.jpg,,Die Angebote können verschiedene Größen beinhalten.,Herren,"Synthetik, Primeknit",Gummi,atmungsaktiv,,Adidas Boost,mit Schnürung,,"Certification LEED, Leather Working Group, Better Cotton Initiative, Fair Labor Association",Adidas NMD,,Textil,Zuglasche,Low-Top-Sneaker,,,,,,,,,,,,
New Balance 574 marblehead with pigment,"69,99 €",https://cdn.idealo.com/folder/Product/200013/6/200013606/s1_produktbild_gross/new-balance-574-marblehead-with-pigment.jpg,"Retro-Sneaker, Low-Top-Sneaker","Die Angebote können verschiedene Größen beinhalten., Der Schuh fällt klein aus.",Herren,,Gummi,atmungsaktiv,,,mit Schnürung,,"Sustainable Apparel Coalition, Leather Working Group, Better Cotton Initiative, Fair Labor Association",New Balance 574,,Synthetik,verstärkte Schuhspitze,,,,"New Balance ENCAP, New Balance SL-2 (Schuhleisten)",grau,Casual,,,,,,,
Nike Air Max Dn,"105,00 €",https://cdn.idealo.com/folder/Product/204053/6/204053644/s1_produktbild_gross/nike-air-max-dn.jpg,,,Herren,,"Schaumstoff, Gummi",,,Nike Air Sole (Dämpfung),mit Schnürung,,,Nike Air Max,Textil,,,Low-Top-Sneaker,,,,,,,,,,,,
Adidas Samba black/white/gum (019000),"64,79 €",https://cdn.idealo.com/folder/Product/2869/6/2869687/s1_produktbild_gross/adidas-samba-black-white-gum-019000.jpg,"Retro-Sneaker, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Herren,"Leder, Synthetik",Gummi,,,,mit Schnürung,,"Certification LEED, Leather Working Group, Better Cotton Initiative, Fair Labor Association, Fair Wear Foundation",Adidas Samba,,Textil,verstärkte Schuhspitze,,,,,schwarz,,,,,,,,
New Balance 327 Unisex,"66,00 €",https://cdn.idealo.com/folder/Product/204154/9/204154928/s1_produktbild_gross/new-balance-327-unisex.jpg,,Die Angebote können verschiedene Größen beinhalten.,Unisex,"Nylon, Veloursleder",,,,,mit Schnürung,,"Sustainable Apparel Coalition, Leather Working Group, Better Cotton Initiative, Fair Labor Association",,,,verstärkte Schuhspitze,Low-Top-Sneaker,,,,,,,,,,,,
Nike P-6000 Women,"66,00 €",https://cdn.idealo.com/folder/Product/6742/2/6742204/s1_produktbild_gross/nike-p-6000-women.jpg,"Low-Top-Sneaker, Chunky-Sneaker, Retro-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Damen,"Mesh, Textil, Leder",Gummi,atmungsaktiv,,,mit Schnürung,,,,,,Overlays,,,,,,,,,,,,,
Adidas Run 60s 3.0,"34,17 €",https://cdn.idealo.com/folder/Product/202248/9/202248972/s1_produktbild_gross/adidas-run-60s-3-0.jpg,,Die Angebote können verschiedene Größen beinhalten.,,,Gummi,,,,mit Schnürung,,"Certification LEED, Leather Working Group, Fair Labor Association, Better Cotton Initiative, Fair Wear Foundation",,Textil,Textil,verstärkte Schuhspitze,Low-Top-Sneaker,,,,,,,,,,gestreift,,
Nike Court Vision Alta Women,"38,28 €",https://cdn.idealo.com/folder/Product/201583/3/201583361/s1_produktbild_gross/nike-court-vision-alta-women.jpg,"Low-Top-Sneaker, Plateau-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Damen,,"Gummi, Schaumstoff",gepolstert,,,mit Schnürung,,,Nike Court,Leder,,gepolsterte Zunge,,,,,,,,,,,,,
Nike Air Force 1 Luxe,"83,99 €",https://cdn.idealo.com/folder/Product/201570/6/201570620/s1_produktbild_gross/nike-air-force-1-luxe.jpg,"Retro-Sneaker, Low-Top-Sneaker",,,,,,,Nike Air Sole (Dämpfung),mit Schnürung,,,Nike Air Force,Leder,,,,,,,,,,,,,,,
Nike Air Max Command,"87,31 €",https://cdn.idealo.com/folder/Product/2418/1/2418131/s1_produktbild_gross/nike-air-max-command.jpg,"Low-Top-Sneaker, Retro-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Herren,,Gummi,,,Nike Air Sole (Dämpfung),mit Schnürung,,,Nike Air Max,Textil,,verstärkte Schuhspitze,,,,,,,,,,,,,
Nike Air Force 1 Shadow Women,"90,99 €",https://cdn.idealo.com/folder/Product/6801/3/6801317/s1_produktbild_gross/nike-air-force-1-shadow-women.jpg,,Die Angebote können verschiedene Größen beinhalten.,Damen,"Leder, Synthetik",Gummi,"atmungsaktiv, gepolstert",,Nike Air Sole (Dämpfung),mit Schnürung,,,Nike Air Force 1,,Textil,Overlays,Low-Top-Sneaker,,,,,,,,,,,,
Nike AL8 Women,"53,99 €",https://cdn.idealo.com/folder/Product/204326/6/204326632/s1_produktbild_gross/nike-al8-women.jpg,,Die Angebote können verschiedene Größen beinhalten.,,"Synthetik, Mesh",Gummi,"atmungsaktiv, flexibel",,,mit Schnürung,,,,,Textil,verstärkte Schuhspitze,Low-Top-Sneaker,,,,,,,,,,,,
Nike Tanjun,"39,99 €",https://cdn.idealo.com/folder/Product/4998/1/4998156/s1_produktbild_gross/nike-tanjun.jpg,"Low-Top-Sneaker, Retro-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Herren,"Textil, Mesh",,"atmungsaktiv, flexibel, leichtgewichtig",,,mit Schnürung,gepolsterter Knöchelbereich,,,,,gepolsterte Zunge,,,,,,,,,,,,,
Nike Blazer Mid '77 Vintage,"54,95 €",https://cdn.idealo.com/folder/Product/7080/8/7080853/s1_produktbild_gross/nike-blazer-mid-77-vintage.jpg,"High-Top-Sneaker, Retro-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Unisex,,Gummi,atmungsaktiv,,,mit Schnürung,,,Nike Blazer,Leder,Textil,,,,,,,,,,,,,,
Nike Dunk Low,"59,99 €",https://cdn.idealo.com/folder/Product/203324/8/203324856/s1_produktbild_gross/nike-dunk-low.jpg,,Die Angebote können verschiedene Größen beinhalten.,,,,,,,,,,Nike Dunk,,,,Low-Top-Sneaker,,,,,,,,,,,,
Nike Court Vision Low Next Nature Women,"37,14 €",https://cdn.idealo.com/folder/Product/201939/1/201939135/s1_produktbild_gross/nike-court-vision-low-next-nature-women.jpg,,Die Angebote können verschiedene Größen beinhalten.,Damen,,Gummi,atmungsaktiv,,,mit Schnürung,,,Nike Court,Synthetik,,,Low-Top-Sneaker,,,,,,,,,,,,
New Balance 530 Sportschuhe MR530-ASM-D,"117,95 €",https://cdn.idealo.com/folder/Product/205597/0/205597028/s1_produktbild_gross/new-balance-530-sportschuhe-mr530-asm-d.jpg,,,,,,,,,,,,,,,,Low-Top-Sneaker,,,,weiß,,,,,,,,
Adidas Handball Spezial Women clear pink/arctic night/gum,"74,00 €",https://cdn.idealo.com/folder/Product/203231/5/203231552/s1_produktbild_gross/adidas-handball-spezial-women-clear-pink-arctic-night-gum.jpg,,Die Angebote können verschiedene Größen beinhalten.,,,Gummi,,,,mit Schnürung,,"Certification LEED, Leather Working Group, Better Cotton Initiative, Fair Labor Association, Fair Wear Foundation",Adidas Handball Spezial,Veloursleder,"Synthetik, Textil",,Low-Top-Sneaker,,,,rosa,,,,,,,,
Nike Air Force 1 '07 LV8,"77,99 €",https://cdn.idealo.com/folder/Product/4759/2/4759259/s1_produktbild_gross/nike-air-force-1-07-lv8.jpg,"Retro-Sneaker, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Herren,,Gummi,atmungsaktiv,,Nike Air Sole (Dämpfung),mit Schnürung,,,Nike Air Force 1,Leder,,,,,,,,,,,,,,,
Puma CA Pro Classic,"37,46 €",https://cdn.idealo.com/folder/Product/201408/4/201408493/s1_produktbild_gross/puma-ca-pro-classic.jpg,,Die Angebote können verschiedene Größen beinhalten.,,,Gummi,gepolstert,,,mit Schnürung,,"Sustainable Apparel Coalition, Leather Working Group, Better Cotton Initiative, Fair Labor Association",,Leder,Textil,,Low-Top-Sneaker,,,,,,,,,,,,
On THE ROGER Advantage all white,"110,96 €",https://cdn.idealo.com/folder/Product/201231/7/201231715/s1_produktbild_gross/on-the-roger-advantage-all-white.jpg,,Die Angebote können verschiedene Größen beinhalten.,Herren,"Leder, Synthetik, Mesh, Textil","Gummi, Synthetik",,,,,gepolsterter Knöchelbereich,,,,Textil,,Low-Top-Sneaker,,,,weiß,,,,,,,"mit Schnürung, ohne Verschluss",
AUTRY Medalist Low,"107,99 €",https://cdn.idealo.com/folder/Product/203066/6/203066624/s1_produktbild_gross/autry-medalist-low.jpg,,,,,,,,,,,,,,,,Low-Top-Sneaker,,,,,,,,,,,,
Veja Campo,"89,97 €",https://cdn.idealo.com/folder/Product/7083/8/7083857/s1_produktbild_gross/veja-campo.jpg,,,Unisex,,Kautschuk,,,,mit Schnürung,,"Leather Working Group, GOTS",Veja Campo,Textil,Textil,,Low-Top-Sneaker,,,,,,,,,,,,
Asics GEL-NYC (1203A383),"117,00 €",https://cdn.idealo.com/folder/Product/204125/8/204125878/s1_produktbild_gross/asics-gel-nyc-1203a383.jpg,,Die Angebote können verschiedene Größen beinhalten.,,,,flexibel,,,mit Schnürung,,"Sustainable Apparel Coalition, Leather Working Group, Better Cotton Initiative, bluesign",,,,,Low-Top-Sneaker,,,,,,,,Pronationsstütze: Neutral / Dämpfungssystem: GEL,,,,
Converse Chuck Taylor All Star Lift Leather High white/black/white,"59,99 €",https://cdn.idealo.com/folder/Product/6455/9/6455901/s1_produktbild_gross/converse-chuck-taylor-all-star-lift-leather-high-white-black-white.jpg,"High-Top-Sneaker, Plateau-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Damen,,Kautschuk,flexibel,,,mit Schnürung,,,Converse All Star Leather,Leder,Textil,Gummi-Zehenkappe,,,,,weiß,,,,,,,,
Skechers x JGoldcrown: Uno - Spread the Love,"59,22 €",https://cdn.idealo.com/folder/Product/201831/5/201831557/s1_produktbild_gross/skechers-x-jgoldcrown-uno-spread-the-love.jpg,,Die Angebote können verschiedene Größen beinhalten.,Damen,,Gummi,gepolstert,,Skechers Memory Foam,mit Schnürung,,,,Kunstleder,Textil,,Low-Top-Sneaker,,,,,,,,,,"Print, Herzen",,
Reebok Club C 85 white/sheer grey,"30,58 €",https://cdn.idealo.com/folder/Product/5614/5/5614567/s1_produktbild_gross/reebok-club-c-85-white-sheer-grey.jpg,,Die Angebote können verschiedene Größen beinhalten.,,,Gummi,,,,mit Schnürung,,Fair Labor Association,Reebok Club C,Leder,,,Low-Top-Sneaker,,,,weiß,,,,,,,,
UGG Lowmel,"169,95 €",https://cdn.idealo.com/folder/Product/205127/2/205127219/s1_produktbild_gross/ugg-lowmel.jpg,,Die Angebote können verschiedene Größen beinhalten.,Damen,"Veloursleder, Canvas",EVA,,"zweites Paar Schnürsenkel, Zuglasche",,mit Schnürung,gepolsterter Knöchelbereich,,,,Textil,,Low-Top-Sneaker,nein,,,,,,,,,,,
New Balance Made in USA 990v4,"179,89 €",https://cdn.idealo.com/folder/Product/202962/3/202962387/s1_produktbild_gross/new-balance-made-in-usa-990v4.jpg,"Chunky-Sneaker, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Unisex,"Mesh, Veloursleder, Leder",Gummi,,,,mit Schnürung,,"Sustainable Apparel Coalition, Leather Working Group, Fair Labor Association, Better Cotton Initiative",,,Textil,verstärkte Schuhspitze,,,,,,,,,,,,,
Adidas Handball Spezial wonder silver/off white/gum,"19,32 €",https://cdn.idealo.com/folder/Product/204311/5/204311566/s1_produktbild_gross/adidas-handball-spezial-wonder-silver-off-white-gum.jpg,,Die Angebote können verschiedene Größen beinhalten.,"Herren, Unisex","Wildleder, Synthetik, Veloursleder",Gummi,,,,mit Schnürung,,,Adidas Handball Spezial,,Textil,,Low-Top-Sneaker,nein,,,grau,Vintage,,,,,,,
Nike Air Max 95 Essential,"149,99 €",https://cdn.idealo.com/folder/Product/4813/3/4813385/s1_produktbild_gross/nike-air-max-95-essential.jpg,"Low-Top-Sneaker, Retro-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Herren,,Gummi,,,Nike Air Sole (Dämpfung),mit Schnürung,,,,,,,,,,,,,"Nike Air Max, Nike Air Max 95",,,,,,
Puma Speedcat OG,"97,89 €",https://cdn.idealo.com/folder/Product/205223/5/205223537/s1_produktbild_gross/puma-speedcat-og.jpg,,Die Angebote können verschiedene Größen beinhalten.,Unisex,"Leder, Textil",Gummi,,,Puma IMEVA,mit Schnürung,,,Puma Speedcat,,Textil,Zehenschutzkappe,Low-Top-Sneaker,nein,,,,,,,,,,,
On Cloudtilt,"123,00 €",https://cdn.idealo.com/folder/Product/204437/5/204437591/s1_produktbild_gross/on-cloudtilt.jpg,,Die Angebote können verschiedene Größen beinhalten.,Herren,"Synthetik, Mesh",Gummi,,,,mit Schnellschnürsystem,,,On Cloudtilt,,,,Low-Top-Sneaker,,,,,,,,,,,,
