Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Gluten Free,Milk Free
Lunchables Nachos Cheese Dip & Salsa Kids Lunch Snack Meal Kit with Capri Sun & Kit Kat,,$3.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b995ffbf-5d5c-4873-9c9b-c6585f55ea69.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1b24c2f6-a59a-4c78-8d9e-85f5b69a3c7d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f71eeeae-2e11-49b6-b130-cda3b241e97e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8c719234-6cc2-4ecb-a235-b7e7e988e63b.jpg 4x","Powering kids forward, our Lunchables Nacho Cheese Dip and Salsa Meal Kit is the perfect option for a convenient meal kids will enjoy any time of day! Our lunch kit features real, epic food including Kraft nacho cheese, salsa, tortilla chips, a juicy Capri Sun fruit punch drink and a delectable Kit Kat candy for a dessert treat. Great for on the go, each ingredient comes in its own individual compartment in our serving tray, making it easy and fun to build your own unique combinations. Every 10.7 ounce box contains a good source of vitamin C and calcium. Nacho Lunchables contains 4 grams of fiber per serving. Keep our convenient single-serve, on-the-go package refrigerated until it's time for school, lunchtime or everyday snacking.,• One 10.7 oz box Lunchables Nacho Cheese Dip and Salsa Meal Kit,• Features real, epic food including Kraft nacho cheese, salsa and tortilla chips,• Includes one Capri Sun fruit punch beverage and one Kit Kat candy,• Built to be eaten, Lunchables come conveniently packaged for an easy school lunch or on-the-go snacking,• Each kids meal kit is a good source of vitamin C and calcium, contains 4 grams of fiber per serving,• Our Lunchables meal kit brings buildability to life, letting kids assemble their own meal,• Keep our convenient on-the-go package refrigerated until it's time for school, mealtime or everyday snacking,• SNAP & EBT eligible food item","Fruit Punch Flavored Juice Drink Blend From Concentrate (filtered Water; Sugar; Pear, Grape And Orange Juice Concentrates; Monk Fruit Concentrate; Citric Acid; Apple And Pineapple Juice Concentrates; Natural Flavor, Mushroom Extract [to Protect Quality]), Chips (ground Yellow Corn, Vegetable Oil [contains One Or More Of The Following: Corn, Sunflower Or Soybean Oil], Corn Bran And Salt), Nacho Cheese (whey, Milk, Canola Oil, Dried Corn Syrup, Sodium Phosphates, Contains Less Than 2% Of Jalapeno Peppers, Salt, Whey Protein Concentrate, Lactic Acid, Sodium Alginate, Calcium Phosphate, Vinegar, Potassium Chloride, Sorbic Acid As A Preservative, Cheese Culture, Natural Flavor, Enzymes, Apocarotenal [color]), Salsa (water, Tomato Paste, Green Chili Peppers, Vinegar, Dehydrated Onions, Contains Less Than 2% Of High Fructose Corn Syrup, Food Starch-modified, Jalapeno Peppers, Salt, Green Bell Peppers, Garlic Powder, Sodium Benzoate And Potassium Sorbate As Preservatives, Citric Acid, Spice), Crisp Wafer Bar (sugar, Wheat Flour, Cocoa Butter, Chocolate, Lactose [milk], Vegetable Oil [palm Oil, Palm Kernel Oil], Skim Milk, Milk Fat, Contains 2% Or Less Of: Lecithin [soy], Pgpr; Vanillin [artificial Flavor], Salt, Yeast, Baking Soda)","Keep Refrigerated.,Fun To Eat...No Need To Heat!: Dip Chips Into Cheese And Salsa. Enjoy! To Heat Chips & Cheese: Place Chips On Microwaveable Plate; Spoon On Cheese Dip. Microwave On High 15 Sec. Or Until Warmed. Serve With Salsa. To Heat Cheese Dip: Spoon Cheese Into Microwaveable Container. Microwave On High 15 Sec. Or Until Warmed. Note: Nachos Will Be Hot. Adult Supervision Recommended. Do Not Microwave In Packages. Ovens Vary; Heating Times Are Approximate.","Contains:milk contains: wheat, milk, soy; Manufactured in a facility that also processes peanuts.",,,
Oscar Mayer Bologna Sliced Deli Sandwich Lunch Meat,,$6.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7a9274c7-8d88-4c7f-be38-8c603939dfbe.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fc6ab66b-0a12-4c93-afdc-1af470e4aa11.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ece441d4-7c1d-4c70-aab9-9888544e15d4.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4f17ab4c-152b-47ef-a792-43649d44c86a.jpg 4x","Oscar Mayer Bologna Lunch Meat is quality sliced deli meat made with chicken and pork, and is free from fillers so you can enjoy the taste you love. Layer our bologna lunch meat slices on wheat bread with American cheese for a delicious sandwich, or add our deli meat to a charcuterie board so party guests can mix and match their favorite sandwich meats with other flavors. Oscar Mayer Bologna slices are the ideal lunch meat for kids and parents alike. Our lunch meat comes in a 16 ounce resealable package. Keep refrigerated and use within 7 days of opening. If you enjoy our bologna deli meat, try our other cold cuts and sandwich meats including deli chicken lunch meat, deli ham, turkey lunch meat, beef bologna, salami and more.,• One 16 oz plastic pack of Oscar Mayer Bologna Made with chicken, pork and beef added Sliced Lunch Meat,• Oscar Mayer Bologna Deli Meat contains quality sliced meat and no fillers,• Contains 80 calories per serving of Oscar Mayer Bologna Deli Meat,• Add bologna Oscar Mayer lunch meat to sandwiches, wraps or deli platters,• Fully cooked bologna is ready to eat,• Resealable and vacuum packed to ensure freshness,• So many ways to keep it Oscar with our wide range of cold cuts, bacons, hot dogs and meat snack plates,• SNAP & EBT eligible food item","Mechanically Separated Chicken, Pork, Corn Syrup, Water, Contains Less Than 2% Of Salt, Ground Mustard Seed, Sodium Phosphates, Potassium Chloride, Sodium Propionate, Sodium Diacetate, Sodium Benzoate, Flavor, Sodium Ascorbate, Sodium Nitrite, Hydrolyzed Beef Stock, Potassium Lactate, Sodium Lactate, Autolyzed Yeast Extract, Dextrose, Oleoresin Paprika, Celery Seed Extract","Keep Refrigerated.,Once Opened, Use Within 7 Days.",,,,
"Sabra Hummus, Roasted Red Pepper",,$6.89, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a210d500-9ccb-4662-a565-810896e453ee.jpeg 4x,"It's hard to resist dipping into Sabra Roasted Red Pepper Hummus. A little sweet and a little smoky, this hummus has just the right amount of zip. So dunk a carrot. Dip a chip. Heck, grab some celery, if you want. This 10-ounce tub is perfect for snacking, cooking and passing around the table. Sabra is the hummus that brings you back to the basics—eating with your hands, talking face to face and sharing your day. This delicious recipe blends roasted red peppers with chickpeas (also known as garbanzo beans) and creamy tahini for bold flavor. So pop off the lid at a backyard barbecue. Or serve it with veggies for gluten free snacks in the break room. Sabra hummus brings people together. This vegan dip is gluten free, kosher and Non-GMO Project Verified, so it's ideal for sharing. Sabra hummus and vegetable dip is made with chickpeas grown by family farmers in the Pacific Northwest and blended with ingredients from around the world. With Sabra Roasted Red Pepper Hummus, it’s all about doing what tastes good.,In addition to Sabra Roasted Red Pepper, Sabra offers hummus dip in a variety of irresistible savory flavors, including Classic, Roasted Garlic and Roasted Pine Nut. The Classic Hummus and Roasted Red Pepper Hummus are also available in 17-ounce, 30-ounce and 34-ounce tubs and convenient on-the-go singles. For quick and easy hummus packs, try Sabra Snackers, a delightful combination of hummus with pretzels or pita chips, or guacamole with rolled tortilla chips. No matter the occasion, Sabra has a hummus snack for you.,• One 10 oz tub of Sabra Roasted Red Pepper Hummus,• Perfect for snacking, cooking and, of course, sharing,• Boldly delicious hummus crafted with roasted red peppers, chickpeas and a creamy paste called tahini made from toasted ground sesame seeds, plus other ingredients,• Vegan, vegetarian, kosher, non-GMO and gluten free hummus,• Great as a chip dip, sandwich spread or salad topping","Cooked Chickpeas (water, Chickpeas), Water, Tahini (ground Sesame), Soybean Oil, Red Bell Pepper, Garlic, Salt, Citric Acid, Potassium Sorbate To Maintain Freshness, Natural Flavors","Keep refrigerated.,Enjoy within 7 days of opening.",CONTAINS: SESAME.,,,
"Sabra Hummus, Roasted Garlic",,$6.89, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f76c83d6-ad3b-4dff-aec1-de718147dbe1.jpeg 4x,"Share the simply delicious taste of Sabra Roasted Garlic Hummus. This 10-ounce tub is perfect for snacking, cooking and passing around the table. Sabra is the hummus that brings you back to the basics—eating with your hands, talking face to face and sharing your day. This recipe is a classic—made with chickpeas (also known as garbanzo beans) and creamy tahini. An abundance of finely roasted garlic on top gives this hummus a richer, deeper taste that goes great with just about anything. Everyone wins with Sabra hummus on the snack table. Enjoy this vegetable dip with your family. Share it over chips with your co-workers. Serve it as gluten free snacks to your cheering teammates. Just pop off the lid to share with all your friends because Sabra hummus brings people together. This vegan dip is gluten free, certified kosher and Non-GMO Project Verified. Sabra Roasted Garlic Hummus dip is made with chickpeas grown by family farmers in the Pacific Northwest and blended with ingredients from around the world. With Sabra Hummus, it’s all about doing what tastes good.,In addition to Roasted Garlic, Sabra offers hummus dip in a variety of irresistible savory flavors, including Pine Nut, Roasted Red Pepper and Classic. The Classic Hummus and Roasted Red Pepper Hummus are also available in convenient on-the-go singles. For quick and easy hummus packs, try Sabra Snackers, a delightful combination of hummus with pretzels or pita chips, or guacamole with rolled tortilla chips. No matter the occasion, Sabra has a hummus snack for you.,• One 10 oz tub of Sabra Roasted Garlic Hummus,• Perfect for snacking, cooking and, of course, sharing,• Rich roasted garlic brings new depth to Sabra classic hummus,• Non-GMO Project Verified, dairy free, vegan, vegetarian, certified kosher and gluten free hummus,• A popular vegan snack and a staple in plant-based diets that's delicious as a pita chip dip, sandwich spread and salad topping","Cooked Chickpeas (water, Chickpeas), Water, Tahani (ground Sesame), Soybean Oil, Garlic, Salt, Citric Acid, Red Bell Pepper, Potassium Sorbate To Maintain Freshness, Spices","Keep refrigerated.,Enjoy within 7 days of opening.",CONTAINS: SESAME.,,,
HORMEL Pepperoni Pepperoni Turkey,,$4.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cbbde6c7-20a5-4d6e-9de9-96d33e5fe35b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5ca4073b-2014-4fa1-9ea6-3d33acff7566.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5b812da1-f742-4465-9dbd-d93f962c6794.jpg 4x","Top your pizza and other enticing dishes with savory HORMEL Turkey Pepperoni slices from the maker of America’s #1 selling brand of pepperoni. (Based on the latest 52 week IRI data.) Crafted using only the best, highest-quality meat and spices, grab a pack of pre-sliced, ready-to-eat HORMEL Turkey Pepperoni to create mouthwatering family meals or party appetizers adults and kids love. Open a pouch to perk up any deli meat sandwich, pita pocket, pizza bagel, and more. Make these classic turkey pepperoni slices a tasty part of your next Pizza Friday, BBQ, or get-together. Pair with cheese and crackers as snacks, or enjoy some slices right from the plastic bag as part of a carb-conscious or gluten-free diet. Whether you add HORMEL Turkey Pepperoni slices to deep dish or your charcuterie board, the taste is tough to top. *Regular Pepperoni 13g fat per serving, Turkey Pepperoni 4g fat per serving. Includes one 5 oz plastic bag of HORMEL Turkey Pepperoni. Safe handling: Keep refrigerated. All trademarks, logos and images are owned by Hormel Foods Corporation, its subsidiaries and affiliates. Copyright Hormel Foods, LLC.","Dark Turkey Meat, Salt, Spices, Contains 2% Or Less Of Water, Dextrose, Smoke Flavoring, Lactic Acid Starter Culture, Flavoring, Oleoresin Of Paprika, Garlic Powder, Sodium Nitrite, Citric Acid, Bha, Bht",Prepare or freeze by date shown on back. Refrigerate after opening.,,Gluten Free,,
"SARGENTO Balanced Breaks® Snacks Natural White Cheddar Cheese, Sea-Salted Roasted Almonds and Dried Cranberries, 3-Pack",,$5.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_21834240-20b4-4b37-a1bb-c55b4dd6c322.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7fea2562-6ea1-49f0-9cb5-cec233d6c7a6.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d9cc9d2a-4a27-463e-8ccc-4fcf704a4c59.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_37fbdbb9-42c5-4af6-81dc-a2642346fc3b.jpg 4x","Need to be at your best? Perfect. You need more than a quick snack. You need a snack break. So grab a Sargento® Balanced Breaks® Natural White Cheddar Cheese, Sea-Salted Roasted Almonds and Dried Cranberries snack kit, and relax with this comforting classic snack medley. Crunchy, satisfying almonds dusted with sea salt. Rich, buttery, creamy Natural White Cheddar Cheese. And tart, chewy dried cranberries. They’re snack packs for adults! So whether you’re at home, work or school, grab a Balanced Breaks® snack and a few moments just for yourself. Take a break, have a snack, get back out there and win the rest of your day. From a third-generation, family-owned company.","Cheddar Cheese [pasteurized Milk, Cheese Culture, Salt, Potato Starch (to Prevent Caking), Enzymes], Sea-salted Roasted Almonds [almonds, Vegetable Oil (peanut And/or Sunflower Seed And/or Canola And/or Safflower Oil), Sea Salt], Dried Cranberries (cranberries, Sugar, Sunflower Oil)",Keep Refrigerated: Freshness is assured in unopened packages until the date stamped on the package.,"Made in a facility that also processes other tree nuts, peanuts, soy and wheat.",,,
Oscar Mayer Deli Fresh Honey Smoked Turkey Breast Sliced Sandwich Lunch Meat,,$5.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6941f05d-efa2-47b1-97ff-bd4330bd5e80.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1d91e738-1134-423a-a232-b8939d74a365.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_56235b6f-a96b-4201-9c27-0eae90dfecc6.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_422d49b3-a298-405d-ad86-7e0fee358a54.jpg 4x","Oscar Mayer Deli Fresh Honey Smoked Turkey Breast Lunch Meat is quality deli meat with no artificial preservatives, no added hormones and no nitrates or nitrites added. Our turkey sandwich meat is fully cooked and has a mouthwatering smoky flavor with a touch of sweet honey. Oscar Mayer Deli Fresh makes the perfect lunch. Use our smoked turkey slices to make a classic sub sandwich, or try making a turkey club. Sliced honey smoked turkey also makes a great addition to cheese and crackers or salads. Keep the 9-ounce tray of deli turkey refrigerated to maintain freshness.,• One 9 oz plastic tray of Oscar Mayer Deli Fresh Honey Smoked Turkey Breast Sliced Lunch Meat,• Our honey smoked turkey deli meat has no artificial preservatives, see back panel for ingredients to support quality,• Sliced smoked turkey breast is turkey raised with no added hormones,• Smoked turkey slices with no nitrates or nitrites added,• Our sliced turkey breast has a mouthwatering smoky flavor with a touch of sweet honey,• Honey smoked turkey breast slices are fully cooked and ready to eat,• Add a few slices of honey smoked turkey breast lunch meat to sandwiches, wraps, deli platters, salads, or cheese and crackers,• So many ways to keep it Oscar with our wide range of cold cuts, bacons, hot dogs and meat snack plates,• SNAP & EBT eligible food item","Turkey Breast, Water, Honey, Contains Less Than 2% Of Vinegar, Modified Cornstarch, Salt, Cultured Dextrose*, Sugar, Sodium Phosphates, Carrageenan, *ingredients To Support Quality","Keep Refrigerated.,Once Opened, Use Within 7 Days.",Do not microwave in package.,Gluten Free,,
Smithfield Ham,,$4.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4d624d41-c9de-4784-ac65-6681652b4f2d.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9bea9ebc-3a8c-48be-8a3b-ae3601c82652.png 4x","Smithfield Anytime Favorites Boneless Hickory Smoked Ham Steak is perfectly smoked for mouthwatering flavor and comes fully cooked and ready to slice for an easy meal on a busy night. This ham steak is 97% fat free for a meal option you and your family can trust. This Anytime Favorites ham steak is fully cooked, so you can heat it quickly, cutting down on prep time and mess, and it's boneless, making the ham steak easy to slice and serve. These ham steaks are hickory smoked, ensuring they're packed with a savory taste that elevates every mealtime. Enjoy this Smithfield Ham Steak as a quick weeknight center plate protein, with eggs for a protein-filled breakfast, or diced in your favorite recipes. This Smithfield Ham Steak is packed with 13 grams of protein per serving and a product of the USA. Whether you're planning a large dinner party or a small family affair, Smithfield heat and serve boneless smoked ham is top quality and a guaranteed hit at family gatherings. Ham steaks are packaged in an airtight plastic wrap to maximize freshness. Make sure to keep ham steaks refrigerated.","Water, Dextrose, Contains 2% Or Less Of Salt, Potassium Lactate, Sodium Phosphates, Sodium Diacetate, Sodium Erythorbate, Sodium Nitrite","Warming Instructions: Microwave: Place ham steak on microwave-safe dish; cover with paper towel. Microwave on high for 1 to 2 minutes or until ham center is heated through. Pan Fry: Fry ham steak in a preheated pan at medium setting. Cook approximately 4 to 5 minutes, turning halfway through cooking time. Cook until ham center is heated through. Grill: Preheat grill to medium-high heat (400 degrees F to 450 degrees F). Close lid and grill for approximately 3 to 4 minutes, turning halfway through cooking time. Grill until ham center is heated through. Keep refrigerated. Refer to back of label for warming instructions.",,Gluten Free,,
Oscar Mayer Deli Fresh Smoked Turkey Breast Sliced Sandwich Lunch Meat,,$9.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9401bfe9-1dbc-43ba-83fc-62590d6adc11.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c7333b88-392c-4097-ba7a-f9fece3f56d1.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dd944732-30fd-4fb6-a79a-0e73b918f92d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5ab77bce-e430-4e5d-ab76-900bcccb7369.jpg 4x","Oscar Mayer Deli Fresh Smoked Turkey Breast is quality turkey deli meat with no artificial preservatives, no added hormones and no nitrates or nitrites added. This turkey lunch meat is fully cooked, and it has a mouthwatering smoky flavor perfect for a classic turkey sandwich. Oscar Mayer Deli Fresh makes the perfect lunch - use slices of smoked turkey to make a turkey and cheese sandwich, or try making a turkey melt in the oven. Oscar Mayer Deli Fresh Smoked Turkey Breast also makes a great addition to cheese and crackers or a Cobb salad. Keep the 9 ounce tray refrigerated to maintain freshness.,• One 9 oz plastic tray of Oscar Mayer Deli Fresh Smoked Turkey Breast Sliced Lunch Meat,• No artificial preservatives, see back panel for ingredients to support quality,• Turkey raised with no added hormones,• No nitrates or nitrites added,• Our sliced turkey breast has a mouthwatering rich and smoky flavor,• Smoked turkey breast slices are fully cooked and ready to eat,• Add a few slices of smoked turkey breast lunch meat to sandwiches, wraps, deli platters, salads, or cheese and crackers,• So many ways to keep it Oscar with our wide range of cold cuts, bacons, hot dogs and meat snack plates,• SNAP & EBT eligible food item","Turkey Breast, Water, Modified Cornstarch, Contains Less Than 2% Of Vinegar, Salt, Cultured Dextrose*, Sugar, Sodium Phosphates, Carrageenan, *ingredients Used To Support Quality","Keep Refrigerated.,Once Opened, Use Within 7 Days.",Do not microwave in package.,Gluten Free,,
Panera Bread Broccoli Cheddar Soup,,$6.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_add9a98a-ae87-4493-a227-ed6a0b0c2401.png 4x,"Panera Broccoli Cheddar Soup delivers a bakery-cafe inspired favorite in a microwavable cup that you can take with you on-the-go. This thick soup features chopped broccoli and shredded carrots simmered with select seasonings in a velvety smooth cheese sauce, and is made with no artificial preservatives, sweeteners or flavors. Whether you have a busy schedule and need a quick meal or you just want to enjoy a warm cup of soup, this Panera soup is perfect any time of day. To cook this packaged soup, remove the lid and film and place in the microwave, covering loosely. Heat this microwave soup cup on high for three to four minutes and stir halfway through. You can also cook this soup on the stove top to 165 degrees F, but do not boil. Store the Panera Broccoli Cheddar Soup cup in the refrigerator or freezer until you are ready to prepare. Make easy, craveable meals with help from Panera Bread at home.,• One 16 oz cup of Panera Broccoli Cheddar Soup,• Store Panera soup in the refrigerator or freezer until you are ready to prepare,• Thick soup that is made with chopped broccoli and shredded carrots and simmered with select seasonings in a velvety smooth cheese sauce,• Panera Bread at home microwave soup made with no artificial preservatives, sweeteners, flavors or colors from artificial sources,• Bakery-cafe inspired Panera Broccoli Cheddar Soup cup that’s easy to enjoy at your convenience","Milk, Chicken Stock (water, Chicken Base [chicken Meat Including Chicken Juices, Salt, Chicken Fat, Yeast Extract, Sugar, Natural Flavor, Potato Flour, Carrot Powder, Turmeric]), Water, Broccoli, Cheddar Cheese (pasteurized Milk, Cheese Culture, Salt, Enzymes), Heavy Cream, Carrots, Corn Starch, Contains 2% Or Less Of: Onions, Wheat Flour, Whey, Whey Protein Concentrate, Skim Milk, Milkfat, Butter (cream, Salt), Dijon Mustard (water, Mustard Seed, Vinegar, Salt, Spice), Oleoresin Paprika & Annatto (for Color), Sodium Citrate, Salt, Lactic Acid, Nisin Preparation And Hot Pepper Sauce (distilled Vinegar, Red Pepper, Salt)","Microwave: Remove lid & film. Place cup on microwave-safe plate, cover loosely. Heat on high 3-4 minutes (times may vary) until hot (165 Degrees F), stir halfway through. Let stand 1 minute in microwave. Carefully remove by the plate. Caution! Soup & container will be very hot. Simmer: Stove Top: Remove lid & film. Pour soup into sauce pan. Heat thoroughly (165 Degrees F). Do not boil. Keep refrigerated.",Contains: milk and wheat.,,,
"SARGENTO Balanced Breaks® Natural Sharp Cheddar Cheese, Sea-Salted Roasted Cashews and Cherry Juice-Infused Dried Cranberries, 3-Pack",,$5.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8bc9de2d-96e9-40c5-b875-14a99ae7078e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7884ef3c-2acf-4502-b955-6ef6fec79d31.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_911f263b-2dd2-43cb-8bf9-456c6f826750.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_07fd23b2-d953-4743-8329-74f20cff5203.jpg 4x","You need a snack, and you deserve a break. So get away from your desk. Take a walk. And enjoy a Sargento® Balanced Breaks® Natural Sharp Cheddar Cheese, Sea-Salted Roasted Cashews and Cherry Juice-Infused Dried Cranberries snack kit. Bold, bright Natural Sharp Cheddar Cheese with buttery, creamy, crunchy roasted cashews? Yes, please. And next-level, deliciously tart dried cranberries infused with cherry juice? Genius. So grab a Sargento® Balanced Breaks® snack kit and a few moments for yourself. Take a break, have a snack, get back out there and win your day. From a third-generation, family-owned company.","Cheddar Cheese [pasteurized Milk, Cheese Culture, Salt, Potato Starch (to Prevent Caking), Enzymes, Annatto (vegetable Color)], Sea-salted Roasted Cashews [cashews, Vegetable Oil (peanut And/or Sunflower Seed), Sea Salt], Cherry Juice-infused Dried Cranberries (cranberries, Sugar, Cherry Juice Concentrate, Natural Flavor, Sunflower Oil)",Keep Refrigerated: Freshness is assured in unopened packages until the date stamped on the package.,"Made in a facility that also processes other tree nuts, peanuts, soy and wheat.",,,
"Doritos Dip, Cool Ranch Jalapeno Flavored",,$5.09, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1d90bcf4-8521-4255-b6dc-b1338bd976ee.jpg 4x,"DORITOS Dips level up every meal because they make any food extra – pizza, pretzels, veggies, and more – not just chips. Debuting in two bold flavors, DORITOS Dips amp up the iconic DORITOS flavors that give enough savor to make mouths water from across the room.,• DORITOS Cool Ranch Jalapeno Flavored Dip for all your dipping needs,• Ranch taken to ANOTHER LEVEL. Smooth and creamy ranch dip reimagined and inspired by DORITOS Cool Ranch flavor and kicked up a notch with Jalapeño,• 10 foz","Water, Canola And/or Sunflower Oil, Jalapeno Peppers, Modified Corn Starch, And Less Than 2% Of The Following: Milk Protein Concentrate, Salt, Buttermilk, Sugar, Sodium Hexametaphosphate, Monosodium Glutamate, Sour Cream (cultured Cream, Lactic Acid, Cultured Skim Milk, Citric Acid) , Datem, Mono. And Diglycerides, Natural And Artificial Flavors, Red Bell Pepper Powder, Garlic Powder, Artificial",Must be refrigerated after opening.,Contains milk ingredients,,,
"Hillshire Farm Ultra Thin Sliced Lunchmeat, Honey Roasted Turkey",,$9.19, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0d213b62-07a0-4f08-8a89-751d440bec7b.jpeg 4x,"Can a sandwich crafted with delectably roasted cuts make your tastebuds quake with yearning? For Sure, It's Hillshire! Bring the goodness of the farm to your table and experience the taste of a homestyle meal on a sandwich with Hillshire Farm Ultra Thin Sliced Honey Roasted Turkey Breast Sandwich Meat. Our golden and honey roasted, thin sliced turkey lunch meat is carefully crafted with the highest quality ingredients. Our farmhouse quality turkey breast is made with no artificial preservatives or flavors, and no nitrates or nitrites added (except for those naturally occurring in the celery juice powder and sea salt). Try our gluten-free sliced turkey in a sandwich or wrap, on a salad or as part of a charcuterie board. Each 9-ounce package of Hillshire Farm Honey Roasted Turkey Breast is double sealed for freshness and flavor., One 9 oz pack of Hillshire Farm Ultra Thin Sliced Honey Roasted Turkey Breast Sandwich Meat, Hillshire Farm Ultra Thin Sliced Honey Roasted Turkey Breast Sandwich Meat is carefully crafted with the highest quality ingredients, Our farmhouse quality rich, golden and honey roasted turkey breast is tasty, tender and sweet, Hillshire Farm thin sliced turkey cold cuts contain no artificial preservatives or flavors, No nitrates or nitrites added* *Except for those naturally occurring in the celery juice powder and sea salt, Our fully cooked sandwich turkey is gluten-free, Contains 10 grams of protein per serving, Each 9-ounce package of Hillshire Farm Honey Roasted Turkey Breast is double sealed for freshness and flavor, Keep refrigerated","Turkey Breast, Turkey Broth, Honey, Modified Corn Starch, Vinegar*, Contains 2% Or Less: Salt, Sodium Phosphate, Natural Flavorings (including Celery Juice Powder*), Carrageenan, Sea Salt, *to Preserve Quality",Unspecified: Not Applicable,NaN,Gluten Free,,
"Sabra Hummus, Roasted Pine Nut",,$6.89, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c7d6c924-479f-416e-b1b3-353b97328eb9.jpeg 4x,"Share the simply delicious taste of Sabra pine nut Hummus. Pine nuts roasted to perfection give this hummus a rich flavor and deliciously nutty sweetness. In addition to pine nut, Sabra offers hummus dip in a variety of irresistible flavors, including Roasted garlic, Roasted Red Pepper and Classic.,• Pine nuts roasted to perfection give this hummus a rich flavor and deliciously nutty sweetness,• Backyard BBQ, birthday celebrations, and that mid-afternoon snack you’be been craving,• Made with chickpeas from family farmers in the Pacific Northwest mixed with specially blended tahini from around the world (see product image for list of ingredients),• Vegan vegetarian kosher gluten free GM-free","Cooked Chickpeas (water, Chickpeas), Water, Tahini (ground Sesame), Soybean Oil, Garlic, Salt, Citric Acid, Red Bell Pepper, Pine Nuts, Potassium Sorbate To Maintain Freshness, Parsley, Paprika, Spices","Keep refrigerated.,Enjoy within 7 days of opening.",Contains: pine nuts.,,,
